epoch,lr-Adam,step,test/ADE,test/FDE,test/loss,train/ADE,train/FDE,train/loss,val/ADE,val/FDE,val/loss
,0.001,0,,,,,,,,,
0,,2,,,,,,,0.9621370434761047,0.7808810472488403,0.548629105091095
,0.001,3,,,,,,,,,
1,,5,,,,,,,0.9061781764030457,0.7221258282661438,0.48396629095077515
,0.001,6,,,,,,,,,
2,,8,,,,,,,0.8478671908378601,0.6619848608970642,0.42128950357437134
,0.001,9,,,,,,,,,
3,,11,,,,,,,0.7848528623580933,0.5984567403793335,0.3588199317455292
,0.001,12,,,,,,,,,
4,,14,,,,,,,0.7147611379623413,0.5306978225708008,0.2956218719482422
,0.001,15,,,,,,,,,
5,,17,,,,,,,0.6363263130187988,0.46117836236953735,0.23278509080410004
,0.001,18,,,,,,,,,
6,,20,,,,,,,0.5486757159233093,0.39405006170272827,0.17250631749629974
,0.001,21,,,,,,,,,
7,,23,,,,,,,0.45353102684020996,0.33897989988327026,0.12018517404794693
,0.001,24,,,,,,,,,
8,,26,,,,,,,0.36365780234336853,0.31964969635009766,0.08545508235692978
,0.001,27,,,,,,,,,
9,,29,,,,,,,0.3051128387451172,0.3543664515018463,0.07721174508333206
,0.001,30,,,,,,,,,
10,,32,,,,,,,0.28868237137794495,0.39485374093055725,0.0838024839758873
,0.001,33,,,,,,,,,
11,,35,,,,,,,0.28014010190963745,0.38949868083000183,0.08235868066549301
,0.001,36,,,,,,,,,
12,,38,,,,,,,0.2696415185928345,0.3715467154979706,0.0754411593079567
,0.001,39,,,,,,,,,
13,,41,,,,,,,0.2688991129398346,0.3714821934700012,0.0722583532333374
,0.001,42,,,,,,,,,
14,,44,,,,,,,0.2714022397994995,0.37560537457466125,0.07230847328901291
,0.001,45,,,,,,,,,
15,,47,,,,,,,0.2712552547454834,0.37729087471961975,0.07229640334844589
,0.001,48,,,,,,,,,
16,,49,,,,0.21413898468017578,0.2904742658138275,0.043235186487436295,,,
16,,50,,,,,,,0.2668510973453522,0.3742143213748932,0.07099642604589462
,0.001,51,,,,,,,,,
17,,53,,,,,,,0.25832998752593994,0.3656695485115051,0.06806586682796478
,0.001,54,,,,,,,,,
18,,56,,,,,,,0.24840478599071503,0.354637086391449,0.06462616473436356
,0.001,57,,,,,,,,,
19,,59,,,,,,,0.24116399884223938,0.347667396068573,0.06250783056020737
,0.001,60,,,,,,,,,
20,,62,,,,,,,0.23705258965492249,0.3448176681995392,0.061703164130449295
,0.001,63,,,,,,,,,
21,,65,,,,,,,0.234865203499794,0.3440369963645935,0.0615251287817955
,0.001,66,,,,,,,,,
22,,68,,,,,,,0.23420897126197815,0.3440362513065338,0.061393823474645615
,0.001,69,,,,,,,,,
23,,71,,,,,,,0.23573660850524902,0.34533214569091797,0.061648111790418625
,0.001,72,,,,,,,,,
24,,74,,,,,,,0.23899981379508972,0.346763551235199,0.0620557963848114
,0.001,75,,,,,,,,,
25,,77,,,,,,,0.2428053617477417,0.3478565812110901,0.06258375197649002
,0.001,78,,,,,,,,,
26,,80,,,,,,,0.24544565379619598,0.3489859402179718,0.06315980106592178
,0.001,81,,,,,,,,,
27,,83,,,,,,,0.2463306188583374,0.3497084677219391,0.06343266367912292
,0.001,84,,,,,,,,,
28,,86,,,,,,,0.245777890086174,0.3495393395423889,0.06337602436542511
,0.0005,87,,,,,,,,,
29,,89,,,,,,,0.24538984894752502,0.3491973280906677,0.06320902705192566
,0.0005,90,,,,,,,,,
30,,92,,,,,,,0.24489295482635498,0.3484360873699188,0.06293777376413345
,0.0005,93,,,,,,,,,
31,,95,,,,,,,0.24357779324054718,0.34709492325782776,0.06248635798692703
,0.0005,96,,,,,,,,,
32,,98,,,,,,,0.24254238605499268,0.3462505042552948,0.06214085593819618
33,,99,0.1614101529121399,0.21421600878238678,0.024605443701148033,,,,,,
